date,risk_parity,risk_parity_tc,equal_weight,equal_weight_tc
2024-01-08,0.9922526660129561,0.9922526660129561,0.9981875,0.9981875
2024-01-09,0.9986962465097045,0.9986962465097045,1.0003568563565342,1.0003568563565342
2024-01-10,0.9896238051487066,0.9896238051487066,0.9978701738300797,0.9978701738300797
2024-01-11,0.892612527401388,0.892612527401388,0.9762137451900819,0.9762137451900819
2024-01-12,0.8911552343784507,0.8911552343784507,0.9718651566887806,0.9718651566887806
2024-01-13,0.8894647100778689,0.8894647100778689,0.967708224359489,0.967708224359489
2024-01-14,0.8880539296202401,0.8880539296202401,0.9641970419516847,0.9641970419516847
2024-01-15,0.8886077734002005,0.8886077734002005,0.9666588347837959,0.9666588347837959
2024-01-16,0.8891011585795608,0.8891011585795608,0.9672273665023305,0.9672273665023305
2024-01-17,0.8884027914569552,0.8884027914569552,0.9628372900178176,0.9628372900178176
2024-01-18,0.8898424428974518,0.8898424428974518,0.9668764653916613,0.9668764653916613
2024-01-19,0.8901949355952297,0.8901949355952297,0.9675123309775765,0.9675123309775765
2024-01-20,0.8810515406113457,0.8810515406113457,0.9692721490795951,0.9692721490795951
2024-01-21,0.8816452545325582,0.8816452545325582,0.9697676583993969,0.9697676583993969
2024-01-22,0.8818378650536092,0.8818378650536092,0.9696184633750278,0.9696184633750278
2024-01-23,0.881793374534856,0.881793374534856,0.9675044154272365,0.9675044154272365
2024-01-24,0.881565389035354,0.881565389035354,0.969893717196745,0.969893717196745
2024-01-25,0.8810662301000357,0.8810662301000357,0.9696706727281268,0.9696706727281268
2024-01-26,0.8807016548446261,0.8807016548446261,0.9676248851629881,0.9676248851629881
2024-01-27,0.8746623796307422,0.8746623796307422,0.9582861104225416,0.9582861104225416
2024-01-28,0.8747309871849501,0.8747309871849501,0.9591408779716531,0.9591408779716531
2024-01-29,0.8748258455433552,0.8748258455433552,0.959721098996599,0.959721098996599
2024-01-30,0.8761684180855044,0.8761684180855044,0.9579704966215774,0.9579704966215774
2024-01-31,0.8755330359939067,0.8746568675758213,0.9594695430468464,0.9585115725502247
2024-02-01,0.8464020723616393,0.8455550560477849,0.9050269151875973,0.9041233022593066
2024-02-02,0.829332522343277,0.8285025879669649,0.9006121303846514,0.8997129253436363
2024-02-03,0.8286781866830184,0.8278489071172237,0.8985719279050739,0.8976747598789873
2024-02-04,0.8284151042778403,0.8275860879853719,0.8965511263435242,0.8956559759617594
2024-02-05,0.829388251198468,0.8285582610528578,0.8990907646985635,0.8981930786462985
2024-02-06,0.8305063067373432,0.8296751977248112,0.9006079803639924,0.8997087794665142
2024-02-07,0.8289179328072557,0.828088413321351,0.898370285535588,0.8974733188368309
2024-02-08,0.8279873109526712,0.8271587227639816,0.8970774991729379,0.8961818232407328
2024-02-09,0.8278437407738423,0.8270152962595216,0.897225241541771,0.8963294180980254
2024-02-10,0.828954798505608,0.8281252421272512,0.8983810093200202,0.8974840319142332
2024-02-11,0.8297350138394657,0.8289046766795658,0.9001466432247409,0.8992479029436227
2024-02-12,0.8288555785789008,0.8280261214924755,0.8979177932798614,0.8970212783663998
2024-02-13,0.828239937786685,0.827411096787828,0.8961745331430399,0.8952797587660977
2024-02-14,0.8280585612321066,0.8272299017414307,0.896505931017275,0.8956108257602248
2024-02-15,0.8257660013439276,0.8249396360768709,0.8928125133535528,0.8919210957436814
2024-02-16,0.8254376902827002,0.8246116535649629,0.8922742683096951,0.8913833881039296
2024-02-17,0.827135944988044,0.8263082087831628,0.8946530854507942,0.8937598301444801
2024-02-18,0.8273320065623377,0.8265040741535986,0.8950357593291415,0.8941421219468272
2024-02-19,0.828262940809172,0.8274340767905988,0.8970554168433569,0.8961597629589807
2024-02-20,0.8297249107381242,0.8288945836886575,0.9013672398528325,0.9004672808821097
2024-02-21,0.8297989859790615,0.8289685848005969,0.9017345939492829,0.9008342681984067
2024-02-22,0.8296961517344297,0.8288658534648373,0.9004841416803299,0.8995850644280535
2024-02-23,0.8281457307017525,0.8273169839783471,0.8966965382802724,0.8958012427137583
2024-02-24,0.8275643062682528,0.8267361413912259,0.894955722127026,0.8940621646568662
2024-02-25,0.82843626767584,0.8276072302046152,0.8970831641228383,0.8961874825345342
2024-02-26,0.826880716540345,0.8260532357491329,0.8971637012282084,0.8962679392286278
2024-02-27,0.8276244212674448,0.8267961962317926,0.8970374894102736,0.8961418534253213
2024-02-28,0.8283827469231647,0.827553763011533,0.8986371677338504,0.8977399345698639
2024-02-29,0.823453795156752,0.8218021900108592,0.8940866824293092,0.8922962527065157
2024-03-01,0.8213240688488583,0.8196767353050276,0.8906333855081586,0.8888498710941051
2024-03-02,0.8230256213525389,0.8213748749968569,0.8916139818618999,0.8898285037804612
2024-03-03,0.8232046598810815,0.8215535544269816,0.8917062954307289,0.8899206324891858
2024-03-04,0.8229752694566176,0.8213246240919699,0.8910127460898383,0.8892284719972499
2024-03-05,0.8178804191217857,0.8162399925223924,0.8802525296631006,0.8784898031583387
2024-03-06,0.8219327277199632,0.8202841733861751,0.8879184288808042,0.886140351231594
2024-03-07,0.8194794827265806,0.8178358488778021,0.8822653482169298,0.8804985909954195
2024-03-08,0.8190233002393508,0.8173805813579303,0.8817228496601982,0.8799571788048755
2024-03-09,0.8143938366031528,0.8127604030586987,0.8811413742484662,0.8793768678114048
2024-03-10,0.8114827371955403,0.8098551424568456,0.8775706198891126,0.8758132639720885
2024-03-11,0.8094210033068339,0.8077975437974867,0.8712232719075558,0.8694786267049517
2024-03-12,0.8109782852880157,0.809351702330882,0.8749120651997839,0.8731600331013883
