date,nav
2025-01-01,0.9935608245730906
2025-01-02,0.9613066375622296
2025-01-03,0.961042756836795
2025-01-04,0.9592196544632079
2025-01-05,0.960499871451339
2025-01-06,0.9622436667356262
2025-01-07,0.9630354780246624
2025-01-08,0.9611137604372211
2025-01-09,0.9621724616776282
2025-01-10,0.9630601082431138
2025-01-11,0.9616102106487058
2025-01-12,0.9636421717123231
2025-01-13,0.9630917412647344
2025-01-14,0.9662729288010516
2025-01-15,0.9768850156810559
2025-01-16,0.9793460696721743
2025-01-17,0.977066094184543
2025-01-18,0.9785036827874147
2025-01-19,0.9780120595844087
2025-01-20,0.9782444339869689
2025-01-21,0.9862236110227411
2025-01-22,0.9790665996104304
2025-01-23,0.9772932966100963
2025-01-24,0.9797744779169086
2025-01-25,0.9793342986642853
2025-01-26,0.9770957563466613
2025-01-27,0.9761556609540347
2025-01-28,0.9778274996661293
2025-01-29,0.977255638505045
2025-01-30,0.9773114118244972
2025-01-31,0.9776131780804017
2025-02-01,0.9791953742228652
2025-02-02,0.97653952664191
2025-02-03,0.9757604002169805
2025-02-04,0.9742284948114628
2025-02-05,0.9756884832506837
2025-02-06,0.9757521120375017
2025-02-07,0.974709068018814
2025-02-08,0.9697817261031362
2025-02-09,0.969674333896788
2025-02-10,0.9681074603103159
2025-02-11,0.9669645082817483
2025-02-12,0.9638776944629117
2025-02-13,0.9638906451390614
2025-02-14,0.9609186646235482
2025-02-15,0.9615352104744295
2025-02-16,0.9612054919318002
2025-02-17,0.9623986105636052
2025-02-18,0.9635205829715149
2025-02-19,0.9656889703219966
2025-02-20,0.9595422368922294
2025-02-21,0.9979196245758508
2025-02-22,1.0015698057279696
2025-02-23,1.0047781627269945
2025-02-24,1.0201265177063563
2025-02-25,1.02308634508989
2025-02-26,1.0267686968421217
2025-02-27,1.0274315996027807
2025-02-28,1.0205260022824671
2025-03-01,1.0218761575966526
2025-03-02,1.022034230879669
2025-03-03,1.0233629602987875
2025-03-04,1.0235305326739048
2025-03-05,1.0236948463468474
2025-03-06,1.0204465596514616
2025-03-07,1.0198022719610076
2025-03-08,1.021233889437499
2025-03-09,1.0228835766857387
2025-03-10,1.0234066425866046
2025-03-11,1.025138193115142
2025-03-12,1.0239776138293757
2025-03-13,1.0223409818744265
2025-03-14,1.0264331241965172
2025-03-15,1.025485970089633
2025-03-16,1.0267449227459609
2025-03-17,1.0258282310902382
2025-03-18,1.0285582726614153
2025-03-19,1.0265891543506747
2025-03-20,1.0264269481974455
2025-03-21,1.0249776088672737
2025-03-22,1.0226687083761432
2025-03-23,1.0230223610476898
2025-03-24,1.0220497244809612
