cluster,ai_technology,china_us,climate_environment,crypto_digital,energy_commodities,europe_politics,fed_monetary_policy,legal_regulatory,middle_east,pandemic_health,russia_ukraine,space_frontier,uncategorized,us_economic,us_elections
1,41,27,21,210,11,48,76,50,107,5,60,28,25,56,406
2,3,6,6,53,2,17,53,15,21,0,15,1,1,6,401
