,weight
basket_0,0.037075731432780756
basket_1,0.0300691829414614
basket_2,0.042894369467744206
basket_3,0.043593954212223014
basket_4,0.046536925194963163
basket_5,0.02748008540869996
basket_6,0.038582429027400895
basket_7,0.7337673223147265
