theme,count,percentage
uncategorized,184,48.93617021276596
us_elections,153,40.691489361702125
ai_technology,11,2.925531914893617
fed_monetary_policy,7,1.8617021276595744
middle_east,7,1.8617021276595744
crypto_digital,5,1.3297872340425532
russia_ukraine,2,0.5319148936170213
china_us,2,0.5319148936170213
europe_politics,2,0.5319148936170213
legal_regulatory,1,0.26595744680851063
us_economic,1,0.26595744680851063
climate_environment,1,0.26595744680851063
